Commodity2,Attribute,Unit,YearProjected2,Year2,Value
Upland Cotton,Planted acres,Million acres,2000,1998/99,13.1
Upland Cotton,Planted acres,Million acres,2000,1999/00,14.3
Upland Cotton,Planted acres,Million acres,2000,2000/01,14.4
Upland Cotton,Planted acres,Million acres,2000,2001/02,13.8
Upland Cotton,Planted acres,Million acres,2000,2002/03,12.8
Upland Cotton,Planted acres,Million acres,2000,2003/04,12.9
Upland Cotton,Planted acres,Million acres,2000,2004/05,13.0
Upland Cotton,Planted acres,Million acres,2000,2005/06,13.1
Upland Cotton,Planted acres,Million acres,2000,2006/07,13.2
Upland Cotton,Planted acres,Million acres,2000,2007/08,13.3
Upland Cotton,Planted acres,Million acres,2000,2008/09,13.4
Upland Cotton,Planted acres,Million acres,2000,2009/10,13.4
Upland Cotton,Planted acres,Million acres,2001,1999/00,14.6
Upland Cotton,Planted acres,Million acres,2001,2000/01,15.4
Upland Cotton,Planted acres,Million acres,2001,2001/02,15.0
Upland Cotton,Planted acres,Million acres,2001,2002/03,15.0
Upland Cotton,Planted acres,Million acres,2001,2003/04,14.5
Upland Cotton,Planted acres,Million acres,2001,2004/05,14.4
Upland Cotton,Planted acres,Million acres,2001,2005/06,14.3
Upland Cotton,Planted acres,Million acres,2001,2006/07,14.2
Upland Cotton,Planted acres,Million acres,2001,2007/08,14.1
Upland Cotton,Planted acres,Million acres,2001,2008/09,14.0
Upland Cotton,Planted acres,Million acres,2001,2009/10,13.9
Upland Cotton,Planted acres,Million acres,2001,2010/11,13.8
Upland Cotton,Planted acres,Million acres,2002,2000/01,15.3
Upland Cotton,Planted acres,Million acres,2002,2001/02,16.0
Upland Cotton,Planted acres,Million acres,2002,2002/03,15.1
Upland Cotton,Planted acres,Million acres,2002,2003/04,14.8
Upland Cotton,Planted acres,Million acres,2002,2004/05,14.7
Upland Cotton,Planted acres,Million acres,2002,2005/06,14.6
Upland Cotton,Planted acres,Million acres,2002,2006/07,14.5
Upland Cotton,Planted acres,Million acres,2002,2007/08,14.3
Upland Cotton,Planted acres,Million acres,2002,2008/09,14.1
Upland Cotton,Planted acres,Million acres,2002,2009/10,14.0
Upland Cotton,Planted acres,Million acres,2002,2010/11,13.9
Upland Cotton,Planted acres,Million acres,2002,2011/12,13.8
Upland Cotton,Planted acres,Million acres,2003,2001/02,15.5
Upland Cotton,Planted acres,Million acres,2003,2002/03,14.1
Upland Cotton,Planted acres,Million acres,2003,2003/04,13.8
Upland Cotton,Planted acres,Million acres,2003,2004/05,14.1
Upland Cotton,Planted acres,Million acres,2003,2005/06,14.2
Upland Cotton,Planted acres,Million acres,2003,2006/07,14.2
Upland Cotton,Planted acres,Million acres,2003,2007/08,14.1
Upland Cotton,Planted acres,Million acres,2003,2008/09,14.1
Upland Cotton,Planted acres,Million acres,2003,2009/10,14.0
Upland Cotton,Planted acres,Million acres,2003,2010/11,14.0
Upland Cotton,Planted acres,Million acres,2003,2011/12,13.9
Upland Cotton,Planted acres,Million acres,2003,2012/13,13.9
Upland Cotton,Planted acres,Million acres,2004,2002/03,13.7
Upland Cotton,Planted acres,Million acres,2004,2003/04,13.5
Upland Cotton,Planted acres,Million acres,2004,2004/05,14.4
Upland Cotton,Planted acres,Million acres,2004,2005/06,14.5
Upland Cotton,Planted acres,Million acres,2004,2006/07,14.4
Upland Cotton,Planted acres,Million acres,2004,2007/08,14.3
Upland Cotton,Planted acres,Million acres,2004,2008/09,14.3
Upland Cotton,Planted acres,Million acres,2004,2009/10,14.2
Upland Cotton,Planted acres,Million acres,2004,2010/11,14.1
Upland Cotton,Planted acres,Million acres,2004,2011/12,14.0
Upland Cotton,Planted acres,Million acres,2004,2012/13,14.0
Upland Cotton,Planted acres,Million acres,2004,2013/14,14.0
Upland Cotton,Planted acres,Million acres,2005,2003/04,13.3
Upland Cotton,Planted acres,Million acres,2005,2004/05,13.5
Upland Cotton,Planted acres,Million acres,2005,2005/06,13.8
Upland Cotton,Planted acres,Million acres,2005,2006/07,13.8
Upland Cotton,Planted acres,Million acres,2005,2007/08,13.8
Upland Cotton,Planted acres,Million acres,2005,2008/09,13.6
Upland Cotton,Planted acres,Million acres,2005,2009/10,13.6
Upland Cotton,Planted acres,Million acres,2005,2010/11,13.5
Upland Cotton,Planted acres,Million acres,2005,2011/12,13.5
Upland Cotton,Planted acres,Million acres,2005,2012/13,13.6
Upland Cotton,Planted acres,Million acres,2005,2013/14,13.6
Upland Cotton,Planted acres,Million acres,2005,2014/15,13.7
Upland Cotton,Planted acres,Million acres,2006,2004/05,13.4
Upland Cotton,Planted acres,Million acres,2006,2005/06,13.9
Upland Cotton,Planted acres,Million acres,2006,2006/07,14.0
Upland Cotton,Planted acres,Million acres,2006,2007/08,14.0
Upland Cotton,Planted acres,Million acres,2006,2008/09,14.0
Upland Cotton,Planted acres,Million acres,2006,2009/10,13.9
Upland Cotton,Planted acres,Million acres,2006,2010/11,13.7
Upland Cotton,Planted acres,Million acres,2006,2011/12,13.7
Upland Cotton,Planted acres,Million acres,2006,2012/13,13.6
Upland Cotton,Planted acres,Million acres,2006,2013/14,13.6
Upland Cotton,Planted acres,Million acres,2006,2014/15,13.5
Upland Cotton,Planted acres,Million acres,2006,2015/16,13.5
Upland Cotton,Planted acres,Million acres,2007,2005/06,14.0
Upland Cotton,Planted acres,Million acres,2007,2006/07,15.0
Upland Cotton,Planted acres,Million acres,2007,2007/08,13.7
Upland Cotton,Planted acres,Million acres,2007,2008/09,13.5
Upland Cotton,Planted acres,Million acres,2007,2009/10,13.5
Upland Cotton,Planted acres,Million acres,2007,2010/11,13.6
Upland Cotton,Planted acres,Million acres,2007,2011/12,13.7
Upland Cotton,Planted acres,Million acres,2007,2012/13,13.7
Upland Cotton,Planted acres,Million acres,2007,2013/14,13.8
Upland Cotton,Planted acres,Million acres,2007,2014/15,13.8
Upland Cotton,Planted acres,Million acres,2007,2015/16,13.8
Upland Cotton,Planted acres,Million acres,2007,2016/17,13.8
Upland Cotton,Planted acres,Million acres,2008,2006/07,14.9
Upland Cotton,Planted acres,Million acres,2008,2007/08,10.6
Upland Cotton,Planted acres,Million acres,2008,2008/09,10.5
