Commodity2,Attribute,Unit,YearProjected2,Year2,Value
Corn,Planted acres,Million acres,2000,1998/99,80.2
Corn,Planted acres,Million acres,2000,1999/00,77.6
Corn,Planted acres,Million acres,2000,2000/01,77.0
Corn,Planted acres,Million acres,2000,2001/02,76.5
Corn,Planted acres,Million acres,2000,2002/03,76.0
Corn,Planted acres,Million acres,2000,2003/04,78.5
Corn,Planted acres,Million acres,2000,2004/05,79.0
Corn,Planted acres,Million acres,2000,2005/06,79.5
Corn,Planted acres,Million acres,2000,2006/07,79.5
Corn,Planted acres,Million acres,2000,2007/08,79.5
Corn,Planted acres,Million acres,2000,2008/09,80.0
Corn,Planted acres,Million acres,2000,2009/10,80.0
Corn,Planted acres,Million acres,2001,1999/00,77.4
Corn,Planted acres,Million acres,2001,2000/01,79.6
Corn,Planted acres,Million acres,2001,2001/02,78.5
Corn,Planted acres,Million acres,2001,2002/03,78.5
Corn,Planted acres,Million acres,2001,2003/04,79.5
Corn,Planted acres,Million acres,2001,2004/05,80.5
Corn,Planted acres,Million acres,2001,2005/06,80.0
Corn,Planted acres,Million acres,2001,2006/07,80.0
Corn,Planted acres,Million acres,2001,2007/08,80.5
Corn,Planted acres,Million acres,2001,2008/09,80.5
Corn,Planted acres,Million acres,2001,2009/10,81.0
Corn,Planted acres,Million acres,2001,2010/11,81.0
Corn,Planted acres,Million acres,2002,2000/01,79.5
Corn,Planted acres,Million acres,2002,2001/02,76.0
Corn,Planted acres,Million acres,2002,2002/03,77.5
Corn,Planted acres,Million acres,2002,2003/04,77.5
Corn,Planted acres,Million acres,2002,2004/05,78.5
Corn,Planted acres,Million acres,2002,2005/06,79.0
Corn,Planted acres,Million acres,2002,2006/07,79.5
Corn,Planted acres,Million acres,2002,2007/08,79.0
Corn,Planted acres,Million acres,2002,2008/09,79.5
Corn,Planted acres,Million acres,2002,2009/10,79.5
Corn,Planted acres,Million acres,2002,2010/11,80.0
Corn,Planted acres,Million acres,2002,2011/12,80.0
Corn,Planted acres,Million acres,2003,2001/02,75.8
Corn,Planted acres,Million acres,2003,2002/03,78.8
Corn,Planted acres,Million acres,2003,2003/04,80.5
Corn,Planted acres,Million acres,2003,2004/05,80.0
Corn,Planted acres,Million acres,2003,2005/06,79.0
Corn,Planted acres,Million acres,2003,2006/07,79.0
Corn,Planted acres,Million acres,2003,2007/08,79.0
Corn,Planted acres,Million acres,2003,2008/09,79.5
Corn,Planted acres,Million acres,2003,2009/10,80.0
Corn,Planted acres,Million acres,2003,2010/11,80.0
Corn,Planted acres,Million acres,2003,2011/12,80.0
Corn,Planted acres,Million acres,2003,2012/13,80.5
Corn,Planted acres,Million acres,2004,2002/03,79.1
Corn,Planted acres,Million acres,2004,2003/04,79.1
Corn,Planted acres,Million acres,2004,2004/05,79.5
Corn,Planted acres,Million acres,2004,2005/06,80.0
Corn,Planted acres,Million acres,2004,2006/07,80.0
Corn,Planted acres,Million acres,2004,2007/08,80.5
Corn,Planted acres,Million acres,2004,2008/09,81.0
Corn,Planted acres,Million acres,2004,2009/10,81.0
Corn,Planted acres,Million acres,2004,2010/11,81.0
Corn,Planted acres,Million acres,2004,2011/12,81.5
Corn,Planted acres,Million acres,2004,2012/13,81.5
Corn,Planted acres,Million acres,2004,2013/14,81.0
Corn,Planted acres,Million acres,2005,2003/04,78.7
Corn,Planted acres,Million acres,2005,2004/05,81.0
Corn,Planted acres,Million acres,2005,2005/06,81.0
Corn,Planted acres,Million acres,2005,2006/07,81.0
Corn,Planted acres,Million acres,2005,2007/08,81.5
Corn,Planted acres,Million acres,2005,2008/09,82.0
Corn,Planted acres,Million acres,2005,2009/10,82.5
Corn,Planted acres,Million acres,2005,2010/11,83.0
Corn,Planted acres,Million acres,2005,2011/12,83.5
Corn,Planted acres,Million acres,2005,2012/13,84.0
Corn,Planted acres,Million acres,2005,2013/14,84.0
Corn,Planted acres,Million acres,2005,2014/15,84.0
Corn,Planted acres,Million acres,2006,2004/05,80.9
Corn,Planted acres,Million acres,2006,2005/06,81.6
Corn,Planted acres,Million acres,2006,2006/07,80.5
Corn,Planted acres,Million acres,2006,2007/08,81.0
Corn,Planted acres,Million acres,2006,2008/09,82.0
Corn,Planted acres,Million acres,2006,2009/10,84.0
Corn,Planted acres,Million acres,2006,2010/11,84.5
Corn,Planted acres,Million acres,2006,2011/12,85.0
Corn,Planted acres,Million acres,2006,2012/13,85.0
Corn,Planted acres,Million acres,2006,2013/14,85.0
Corn,Planted acres,Million acres,2006,2014/15,84.5
Corn,Planted acres,Million acres,2006,2015/16,84.5
Corn,Planted acres,Million acres,2007,2005/06,81.8
Corn,Planted acres,Million acres,2007,2006/07,78.6
Corn,Planted acres,Million acres,2007,2007/08,86.0
Corn,Planted acres,Million acres,2007,2008/09,89.0
Corn,Planted acres,Million acres,2007,2009/10,89.0
Corn,Planted acres,Million acres,2007,2010/11,90.0
Corn,Planted acres,Million acres,2007,2011/12,90.0
Corn,Planted acres,Million acres,2007,2012/13,90.0
Corn,Planted acres,Million acres,2007,2013/14,90.0
Corn,Planted acres,Million acres,2007,2014/15,90.0
Corn,Planted acres,Million acres,2007,2015/16,90.0
Corn,Planted acres,Million acres,2007,2016/17,90.0
Corn,Planted acres,Million acres,2008,2006/07,78.3
Corn,Planted acres,Million acres,2008,2007/08,93.6
Corn,Planted acres,Million acres,2008,2008/09,88.0
Corn,Planted acres,Million acres,2008,2009/10,91.0
Corn,Planted acres,Million acres,2008,2010/11,93.0
Corn,Planted acres,Million acres,2008,2011/12,92.0
Corn,Planted acres,Million acres,2008,2012/13,91.0
Corn,Planted acres,Million acres,2008,2013/14,91.0
Corn,Planted acres,Million acres,2008,2014/15,91.5
Corn,Planted acres,Million acres,2008,2015/16,91.5
Corn,Planted acres,Million acres,2008,2016/17,91.5
Corn,Planted acres,Million acres,2008,2017/18,92.0
Corn,Planted acres,Million acres,2009,2007/08,93.6
Corn,Planted acres,Million acres,2009,2008/09,85.9
Corn,Planted acres,Million acres,2009,2009/10,88.0
Corn,Planted acres,Million acres,2009,2010/11,89.0
Corn,Planted acres,Million acres,2009,2011/12,90.0
Corn,Planted acres,Million acres,2009,2012/13,90.0
Corn,Planted acres,Million acres,2009,2013/14,90.0
Corn,Planted acres,Million acres,2009,2014/15,90.0
Corn,Planted acres,Million acres,2009,2015/16,90.0
Corn,Planted acres,Million acres,2009,2016/17,90.5
Corn,Planted acres,Million acres,2009,2017/18,90.5
Corn,Planted acres,Million acres,2009,2018/19,90.5
Corn,Planted acres,Million acres,2010,2008/09,86.0
Corn,Planted acres,Million acres,2010,2009/10,86.4
Corn,Planted acres,Million acres,2010,2010/11,88.0
Corn,Planted acres,Million acres,2010,2011/12,90.0
Corn,Planted acres,Million acres,2010,2012/13,89.5
Corn,Planted acres,Million acres,2010,2013/14,89.5
Corn,Planted acres,Million acres,2010,2014/15,89.5
Corn,Planted acres,Million acres,2010,2015/16,89.5
Corn,Planted acres,Million acres,2010,2016/17,89.5
Corn,Planted acres,Million acres,2010,2017/18,89.5
Corn,Planted acres,Million acres,2010,2018/19,89.5
Corn,Planted acres,Million acres,2010,2019/20,89.0
Corn,Planted acres,Million acres,2011,2009/10,86.5
Corn,Planted acres,Million acres,2011,2010/11,88.2
Corn,Planted acres,Million acres,2011,2011/12,92.0
Corn,Planted acres,Million acres,2011,2012/13,91.5
Corn,Planted acres,Million acres,2011,2013/14,91.0
Corn,Planted acres,Million acres,2011,2014/15,90.5
Corn,Planted acres,Million acres,2011,2015/16,90.5
Corn,Planted acres,Million acres,2011,2016/17,90.5
Corn,Planted acres,Million acres,2011,2017/18,91.0
Corn,Planted acres,Million acres,2011,2018/19,91.5
Corn,Planted acres,Million acres,2011,2019/20,92.0
Corn,Planted acres,Million acres,2011,2020/21,92.0
Corn,Planted acres,Million acres,2012,2010/11,88.2
Corn,Planted acres,Million acres,2012,2011/12,91.9
Corn,Planted acres,Million acres,2012,2012/13,94.0
Corn,Planted acres,Million acres,2012,2013/14,90.0
Corn,Planted acres,Million acres,2012,2014/15,89.5
Corn,Planted acres,Million acres,2012,2015/16,90.0
Corn,Planted acres,Million acres,2012,2016/17,90.5
Corn,Planted acres,Million acres,2012,2017/18,91.0
Corn,Planted acres,Million acres,2012,2018/19,91.0
Corn,Planted acres,Million acres,2012,2019/20,91.5
Corn,Planted acres,Million acres,2012,2020/21,91.5
Corn,Planted acres,Million acres,2012,2021/22,92.0
Corn,Planted acres,Million acres,2013,2011/12,91.9
Corn,Planted acres,Million acres,2013,2012/13,96.9
Corn,Planted acres,Million acres,2013,2013/14,96.0
Corn,Planted acres,Million acres,2013,2014/15,90.0
Corn,Planted acres,Million acres,2013,2015/16,86.0
Corn,Planted acres,Million acres,2013,2016/17,88.0
Corn,Planted acres,Million acres,2013,2017/18,89.0
Corn,Planted acres,Million acres,2013,2018/19,90.0
Corn,Planted acres,Million acres,2013,2019/20,90.5
Corn,Planted acres,Million acres,2013,2020/21,91.0
Corn,Planted acres,Million acres,2013,2021/22,91.5
Corn,Planted acres,Million acres,2013,2022/23,92.0
Corn,Planted acres,Million acres,2014,2012/13,97.2
Corn,Planted acres,Million acres,2014,2013/14,95.3
Corn,Planted acres,Million acres,2014,2014/15,93.5
Corn,Planted acres,Million acres,2014,2015/16,91.0
Corn,Planted acres,Million acres,2014,2016/17,89.0
Corn,Planted acres,Million acres,2014,2017/18,88.0
Corn,Planted acres,Million acres,2014,2018/19,88.0
Corn,Planted acres,Million acres,2014,2019/20,88.0
Corn,Planted acres,Million acres,2014,2020/21,88.5
Corn,Planted acres,Million acres,2014,2021/22,88.5
Corn,Planted acres,Million acres,2014,2022/23,88.5
Corn,Planted acres,Million acres,2014,2023/24,88.5
Corn,Planted acres,Million acres,2015,2013/14,95.4
Corn,Planted acres,Million acres,2015,2014/15,90.9
Corn,Planted acres,Million acres,2015,2015/16,88.0
Corn,Planted acres,Million acres,2015,2016/17,90.0
Corn,Planted acres,Million acres,2015,2017/18,90.0
Corn,Planted acres,Million acres,2015,2018/19,90.0
Corn,Planted acres,Million acres,2015,2019/20,89.5
Corn,Planted acres,Million acres,2015,2020/21,89.5
Corn,Planted acres,Million acres,2015,2021/22,89.0
Corn,Planted acres,Million acres,2015,2022/23,89.0
Corn,Planted acres,Million acres,2015,2023/24,89.0
Corn,Planted acres,Million acres,2015,2024/25,89.0
Corn,Planted acres,Million acres,2016,2014/15,90.6
Corn,Planted acres,Million acres,2016,2015/16,88.4
Corn,Planted acres,Million acres,2016,2016/17,90.5
Corn,Planted acres,Million acres,2016,2017/18,90.3
Corn,Planted acres,Million acres,2016,2018/19,90.3
Corn,Planted acres,Million acres,2016,2019/20,90.3
Corn,Planted acres,Million acres,2016,2020/21,90.0
Corn,Planted acres,Million acres,2016,2021/22,89.5
Corn,Planted acres,Million acres,2016,2022/23,89.0
Corn,Planted acres,Million acres,2016,2023/24,88.5
Corn,Planted acres,Million acres,2016,2024/25,88.0
Corn,Planted acres,Million acres,2016,2025/26,88.0
Corn,Planted acres,Million acres,2017,2015/16,88.0
Corn,Planted acres,Million acres,2017,2016/17,94.5
Corn,Planted acres,Million acres,2017,2017/18,90.0
Corn,Planted acres,Million acres,2017,2018/19,89.5
Corn,Planted acres,Million acres,2017,2019/20,89.5
Corn,Planted acres,Million acres,2017,2020/21,88.5
Corn,Planted acres,Million acres,2017,2021/22,88.0
Corn,Planted acres,Million acres,2017,2022/23,88.0
Corn,Planted acres,Million acres,2017,2023/24,87.0
Corn,Planted acres,Million acres,2017,2024/25,87.0
Corn,Planted acres,Million acres,2017,2025/26,86.5
Corn,Planted acres,Million acres,2017,2026/27,86.0
Corn,Planted acres,Million acres,2018,2016/17,94.0
Corn,Planted acres,Million acres,2018,2017/18,90.4
Corn,Planted acres,Million acres,2018,2018/19,91.0
Corn,Planted acres,Million acres,2018,2019/20,90.0
Corn,Planted acres,Million acres,2018,2020/21,90.0
Corn,Planted acres,Million acres,2018,2021/22,89.5
Corn,Planted acres,Million acres,2018,2022/23,89.5
Corn,Planted acres,Million acres,2018,2023/24,88.5
Corn,Planted acres,Million acres,2018,2024/25,88.5
Corn,Planted acres,Million acres,2018,2025/26,88.0
Corn,Planted acres,Million acres,2018,2026/27,87.5
Corn,Planted acres,Million acres,2018,2027/28,87.5
Corn,Planted acres,Million acres,2019,2017/18,90.2
Corn,Planted acres,Million acres,2019,2018/19,89.1
Corn,Planted acres,Million acres,2019,2019/20,92.0
Corn,Planted acres,Million acres,2019,2020/21,93.0
Corn,Planted acres,Million acres,2019,2021/22,93.0
Corn,Planted acres,Million acres,2019,2022/23,93.0
Corn,Planted acres,Million acres,2019,2023/24,93.0
Corn,Planted acres,Million acres,2019,2024/25,92.5
Corn,Planted acres,Million acres,2019,2025/26,92.5
Corn,Planted acres,Million acres,2019,2026/27,92.5
Corn,Planted acres,Million acres,2019,2027/28,92.0
Corn,Planted acres,Million acres,2019,2028/29,91.5
Corn,Planted acres,Million acres,2020,2018/19,89.1
Corn,Planted acres,Million acres,2020,2019/20,89.9
Corn,Planted acres,Million acres,2020,2020/21,94.5
Corn,Planted acres,Million acres,2020,2021/22,89.0
Corn,Planted acres,Million acres,2020,2022/23,89.0
Corn,Planted acres,Million acres,2020,2023/24,89.0
Corn,Planted acres,Million acres,2020,2024/25,89.0
Corn,Planted acres,Million acres,2020,2025/26,89.0
Corn,Planted acres,Million acres,2020,2026/27,89.0
Corn,Planted acres,Million acres,2020,2027/28,88.5
Corn,Planted acres,Million acres,2020,2028/29,88.5
Corn,Planted acres,Million acres,2020,2029/30,88.5
Corn,Planted acres,Million acres,2021,2019/20,89.7
Corn,Planted acres,Million acres,2021,2020/21,91.0
Corn,Planted acres,Million acres,2021,2021/22,90.0
Corn,Planted acres,Million acres,2021,2022/23,90.0
Corn,Planted acres,Million acres,2021,2023/24,90.0
Corn,Planted acres,Million acres,2021,2024/25,90.0
Corn,Planted acres,Million acres,2021,2025/26,90.0
Corn,Planted acres,Million acres,2021,2026/27,89.0
Corn,Planted acres,Million acres,2021,2027/28,89.0
Corn,Planted acres,Million acres,2021,2028/29,89.0
Corn,Planted acres,Million acres,2021,2029/30,89.0
Corn,Planted acres,Million acres,2021,2030/31,89.0
Corn,Planted acres,Million acres,2022,2020/21,90.7
Corn,Planted acres,Million acres,2022,2021/22,93.3
Corn,Planted acres,Million acres,2022,2022/23,92.0
Corn,Planted acres,Million acres,2022,2023/24,91.0
Corn,Planted acres,Million acres,2022,2024/25,91.0
Corn,Planted acres,Million acres,2022,2025/26,90.0
Corn,Planted acres,Million acres,2022,2026/27,90.0
Corn,Planted acres,Million acres,2022,2027/28,90.0
Corn,Planted acres,Million acres,2022,2028/29,90.0
Corn,Planted acres,Million acres,2022,2029/30,90.0
Corn,Planted acres,Million acres,2022,2030/31,89.5
Corn,Planted acres,Million acres,2022,2031/32,89.5
Corn,Planted acres,Million acres,2023,2021/22,93.3
Corn,Planted acres,Million acres,2023,2022/23,88.6
Corn,Planted acres,Million acres,2023,2023/24,92.0
Corn,Planted acres,Million acres,2023,2024/25,91.0
Corn,Planted acres,Million acres,2023,2025/26,90.0
Corn,Planted acres,Million acres,2023,2026/27,90.0
Corn,Planted acres,Million acres,2023,2027/28,89.0
