Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1961","1961","ha","36138","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1961","1961","100 g/ha","16669","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1961","1961","t","60237","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1962","1962","ha","37676","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1962","1962","100 g/ha","11558","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1962","1962","t","43545","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1963","1963","ha","39578","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1963","1963","100 g/ha","13684","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1963","1963","t","54159","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1964","1964","ha","41196","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1964","1964","100 g/ha","16517","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1964","1964","t","68042","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1965","1965","ha","47469","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1965","1965","100 g/ha","13932","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1965","1965","t","66133","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1966","1966","ha","47874","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1966","1966","100 g/ha","16126","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1966","1966","t","77201","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1967","1967","ha","50423","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1967","1967","100 g/ha","13781","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1967","1967","t","69490","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1968","1968","ha","54672","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1968","1968","100 g/ha","12362","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1968","1968","t","67585","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1969","1969","ha","60297","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1969","1969","100 g/ha","18355","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1969","1969","t","110676","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1970","1970","ha","68760","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1970","1970","100 g/ha","16360","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1970","1970","t","112490","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1971","1971","ha","76000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1971","1971","100 g/ha","15995","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1971","1971","t","121563","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1972","1972","ha","80490","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1972","1972","100 g/ha","14088","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1972","1972","t","113398","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1973","1973","ha","86440","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1973","1973","100 g/ha","14063","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1973","1973","t","121563","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1974","1974","ha","93560","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1974","1974","100 g/ha","18326","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1974","1974","t","171457","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1975","1975","ha","100680","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1975","1975","100 g/ha","14417","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1975","1975","t","145149","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1976","1976","ha","104370","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1976","1976","100 g/ha","20252","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1976","1976","t","211373","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1977","1977","ha","111890","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1977","1977","100 g/ha","20188","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1977","1977","t","225888","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1978","1978","ha","124520","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1978","1978","100 g/ha","10396","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1978","1978","t","129455","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1979","1979","ha","131160","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1979","1979","100 g/ha","21006","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1979","1979","t","275511","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1980","1980","ha","132250","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1980","1980","100 g/ha","18137","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1980","1980","t","239858","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1981","1981","ha","132010","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1981","1981","100 g/ha","22980","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1981","1981","t","303361","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1982","1982","ha","137190","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1982","1982","100 g/ha","18748","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1982","1982","t","257200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1983","1983","ha","145680","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1983","1983","100 g/ha","12356","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1983","1983","t","180000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1984","1984","ha","154180","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1984","1984","100 g/ha","28473","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1984","1984","t","439000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1985","1985","ha","165510","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1985","1985","100 g/ha","21268","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1985","1985","t","352000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1986","1986","ha","168350","A","Official figure",""
