Domain,Area,Element,Item,Year,Value
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1961","16669"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1962","11558"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1963","13684"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1964","16517"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1965","13932"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1966","16126"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1967","13781"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1968","12362"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1969","18355"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1970","16360"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1971","15995"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1972","14088"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1973","14063"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1974","18326"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1975","14417"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1976","20252"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1977","20188"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1978","10396"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1979","21006"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1980","18137"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1981","22980"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1982","18748"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1983","12356"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1984","28473"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1985","21268"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1986","11250"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1987","29630"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1988","26356"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1989","22317"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1990","30049"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1991","22648"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1992","25401"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1993","21767"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1994","30246"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1995","16316"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1996","22258"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1997","30295"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1998","20838"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","1999","32063"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2000","26342"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2001","28402"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2002","36275"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2003","35325"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2004","34074"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2005","29969"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2006","36049"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2007","46830"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2008","51238"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2009","39887"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2010","45371"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2011","56883"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2012","49871"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2013","50375"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2014","43897"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2015","38580"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2016","41213"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2017","41188"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2018","39024"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2019","40064"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2020","46358"
"Crops and livestock products","United States of America","Yield","Almonds, in shell","2021","40979"
"Crops and livestock products","United States of America","Yield","Apples","1961","139842"
"Crops and livestock products","United States of America","Yield","Apples","1962","141510"
"Crops and livestock products","United States of America","Yield","Apples","1963","143045"
"Crops and livestock products","United States of America","Yield","Apples","1964","156929"
"Crops and livestock products","United States of America","Yield","Apples","1965","158906"
"Crops and livestock products","United States of America","Yield","Apples","1966","153463"
"Crops and livestock products","United States of America","Yield","Apples","1967","147490"
"Crops and livestock products","United States of America","Yield","Apples","1968","151143"
"Crops and livestock products","United States of America","Yield","Apples","1969","189960"
