Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","329","Cotton seed","t","32596.88","E","Estimated value"
"QCL","Crops and livestock products","3","Albania","5510","Production","329","Cotton seed","t","514.23","E","Estimated value"
"QCL","Crops and livestock products","4","Algeria","5510","Production","329","Cotton seed","t","41.79","E","Estimated value"
"QCL","Crops and livestock products","7","Angola","5510","Production","329","Cotton seed","t","3680.58","E","Estimated value"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5510","Production","329","Cotton seed","t","58.17","E","Estimated value"
"QCL","Crops and livestock products","9","Argentina","5510","Production","329","Cotton seed","t","368686.41","E","Estimated value"
"QCL","Crops and livestock products","10","Australia","5510","Production","329","Cotton seed","t","848832.93","E","Estimated value"
"QCL","Crops and livestock products","11","Austria","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","329","Cotton seed","t","81620.3","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","329","Cotton seed","t","35301.83","E","Estimated value"
"QCL","Crops and livestock products","255","Belgium","5510","Production","329","Cotton seed","t","0","E","Estimated value"
"QCL","Crops and livestock products","53","Benin","5510","Production","329","Cotton seed","t","226955.85","E","Estimated value"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","329","Cotton seed","t","29625.11","E","Estimated value"
"QCL","Crops and livestock products","20","Botswana","5510","Production","329","Cotton seed","t","1153.2","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","329","Cotton seed","t","2063520.63","E","Estimated value"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","329","Cotton seed","t","2737.12","E","Estimated value"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","329","Cotton seed","t","292687.67","E","Estimated value"
"QCL","Crops and livestock products","29","Burundi","5510","Production","329","Cotton seed","t","1738.78","E","Estimated value"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","329","Cotton seed","t","167.32","E","Estimated value"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","329","Cotton seed","t","139565.59","E","Estimated value"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","329","Cotton seed","t","10553.07","E","Estimated value"
"QCL","Crops and livestock products","39","Chad","5510","Production","329","Cotton seed","t","82246.63","E","Estimated value"
"QCL","Crops and livestock products","351","China","5510","Production","329","Cotton seed","t","11012654.93","E","Estimated value"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","329","Cotton seed","t","11012654.89","E","Estimated value"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","329","Cotton seed","t","0.04","E","Estimated value"
