Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1961","1961","100 g/ha","16669","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1962","1962","100 g/ha","11558","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1963","1963","100 g/ha","13684","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1964","1964","100 g/ha","16517","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1965","1965","100 g/ha","13932","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1966","1966","100 g/ha","16126","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1967","1967","100 g/ha","13781","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1968","1968","100 g/ha","12362","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1969","1969","100 g/ha","18355","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1970","1970","100 g/ha","16360","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1971","1971","100 g/ha","15995","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1972","1972","100 g/ha","14088","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1973","1973","100 g/ha","14063","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1974","1974","100 g/ha","18326","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1975","1975","100 g/ha","14417","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1976","1976","100 g/ha","20252","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1977","1977","100 g/ha","20188","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1978","1978","100 g/ha","10396","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1979","1979","100 g/ha","21006","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1980","1980","100 g/ha","18137","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1981","1981","100 g/ha","22980","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1982","1982","100 g/ha","18748","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1983","1983","100 g/ha","12356","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1984","1984","100 g/ha","28473","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1985","1985","100 g/ha","21268","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1986","1986","100 g/ha","11250","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1987","1987","100 g/ha","29630","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1988","1988","100 g/ha","26356","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1989","1989","100 g/ha","22317","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1990","1990","100 g/ha","30049","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1991","1991","100 g/ha","22648","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1992","1992","100 g/ha","25401","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1993","1993","100 g/ha","21767","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1994","1994","100 g/ha","30246","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1995","1995","100 g/ha","16316","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1996","1996","100 g/ha","22258","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1997","1997","100 g/ha","30295","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1998","1998","100 g/ha","20838","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1999","1999","100 g/ha","32063","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2000","2000","100 g/ha","26342","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2001","2001","100 g/ha","28402","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2002","2002","100 g/ha","36275","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2003","2003","100 g/ha","35325","A","Official figure"
