Taxas de mortalidade pelas topografias selecionadas*,  brutas e ajustadas por idade, pelas populações mundial e brasileira de 2010, por 100.000 homens e mulheres, Brasil, entre 1979 e 2021.

FAIXA-ETARIA;OBITOS_HOMES;TAXA_ESPECIFICA_HOMES;OBITOS_MULHERES;TAXA_ESPECIFICA_MULHERES;OBITOS_TODOS;TAXA_ESPECIFICA_TODOS
00 a 04;106;0,03;97;0,03;203;0,03
05 a 09;67;0,02;72;0,02;140;0,02
10 a 14;144;0,04;125;0,04;269;0,04
15 a 19;437;0,13;360;0,10;798;0,11
20 a 29;1778;0,28;4659;0,73;6438;0,51
30 a 39;5711;1,09;33987;6,23;39704;3,72
40 a 49;27001;6,67;90640;21,20;117650;14,13
50 a 59;85939;29,78;146597;46,68;232574;38,59
60 a 69;146354;80,01;157369;74,99;303786;77,34
70 a 79;130563;140,63;128791;110,47;259400;123,86
80 ou mais;58302;169,25;87968;164,20;146295;166,20
Idade ignorada;593;34,92;569;32,84;1182;34,45


Total;456995;-;651234;-;1108439;-
Taxa Bruta;-;12,82;-;17,69;-;15,30
Taxa Padrao Mundial;-;15,19;-;17,83;-;16,51
Taxa Padrao Brasil;-;16,00;-;19,02;-;17,51
