"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Área destinada à colheita - percentual do total geral"
"Brasil, Grande Região e Unidade da Federação";"Ano x Produto das lavouras permanentes"
"Brasil, Grande Região e Unidade da Federação";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Brasil, Grande Região e Unidade da Federação";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja"
"Brasil";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"11,33";"12,19";"12,74";"14,08";"14,56";"12,82";"14,86";"14,63";"17,24";"16,84";"16,89";"16,50";"13,73";"13,17";"13,00";"13,18";"12,93";"12,69";"12,52";"12,73";"12,89";"12,76";"13,48";"12,96";"12,32";"11,93";"11,82";"11,52";"10,98";"11,96";"11,21";"11,16";"10,58";"10,78";"10,46"
"Norte";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1,89";"1,67";"1,92";"2,30";"3,67";"3,36";"4,00";"4,26";"4,97";"5,00";"4,71";"4,04";"3,55";"3,29";"3,33";"3,07";"3,46";"3,44";"3,46";"3,38";"3,40";"3,61";"3,39";"3,53";"3,79";"4,19";"4,08";"3,21";"3,07";"3,46";"2,80";"2,70";"2,57";"2,43";"2,44"
"Nordeste";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2,12";"2,61";"2,75";"3,04";"3,13";"3,47";"3,89";"4,09";"5,20";"4,84";"5,26";"4,97";"4,80";"4,71";"4,74";"4,80";"4,82";"4,76";"4,85";"4,62";"4,89";"4,65";"5,00";"5,06";"5,27";"5,32";"5,33";"5,87";"5,20";"5,89";"5,98";"5,88";"5,65";"5,59";"5,61"
"Sudeste";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"22,67";"23,85";"24,99";"27,03";"28,07";"24,05";"27,41";"26,72";"29,60";"29,19";"28,83";"28,50";"23,83";"22,39";"22,02";"22,40";"21,95";"21,79";"21,59";"22,29";"22,76";"22,65";"23,39";"22,21";"20,51";"19,25";"18,90";"18,47";"17,83";"18,91";"17,08";"17,24";"16,25";"16,77";"16,06"
"Sul";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4,00";"4,45";"5,09";"5,48";"6,99";"8,24";"9,57";"12,33";"11,06";"12,47";"12,52";"12,34";"11,69";"12,95";"10,98";"10,76";"11,20";"11,01";"11,32";"12,02";"11,92";"12,51";"12,98";"14,26";"13,94";"14,47";"14,90";"14,15";"13,85";"13,66";"13,00";"12,64";"12,12";"12,24";"12,24"
"Centro-Oeste";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3,04";"2,90";"2,76";"4,71";"6,36";"7,42";"7,75";"9,84";"8,41";"6,64";"7,45";"6,94";"6,71";"6,56";"7,61";"6,55";"5,86";"5,85";"7,79";"7,62";"5,95";"5,82";"8,12";"7,62";"8,42";"8,32";"7,50";"8,48";"8,46";"8,50";"8,58";"8,44";"9,28";"9,29";"9,24"
"Rondônia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"0,69";"0,61";"0,59";"0,58";"0,64";"0,58";"0,58";"0,77";"0,81";"0,76";"0,65";"0,37";"0,36";"0,33";"0,26";"0,25";"0,27";"0,31";"0,42";"0,40";"0,40";"0,41";"0,29";"0,25";"0,33";"0,41";"0,56";"0,65";"0,57";"0,65";"0,53";"0,64";"0,56";"0,50";"0,50"
"Acre";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1,76";"1,81";"1,65";"1,27";"1,31";"1,44";"1,97";"1,38";"6,56";"7,10";"6,83";"5,79";"5,16";"5,21";"3,65";"3,60";"3,64";"3,59";"3,00";"1,51";"1,95";"3,13";"2,74";"2,97";"2,74";"2,94";"4,27";"4,39";"4,54";"4,34";"4,11";"4,05";"4,10";"4,27";"4,18"
"Amazonas";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"7,68";"8,39";"7,40";"11,48";"12,89";"11,93";"13,78";"13,79";"4,83";"4,54";"4,69";"4,64";"5,05";"5,82";"5,44";"4,94";"5,11";"6,33";"6,33";"7,26";"7,93";"7,60";"6,94";"8,31";"9,87";"9,70";"12,91";"14,73";"14,88";"11,06";"10,37";"10,98";"4,37";"5,44";"5,42"
"Roraima";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"9,57";"9,46";"16,04";"19,36";"19,25";"...";"17,98";"19,35";"12,62";"19,35";"12,56";"8,80";"7,98";"6,65";"6,55";"5,30";"4,35";"4,35";"4,01";"4,01";"3,99";"3,99";"4,11";"3,98";"3,47";"11,03";"11,13";"12,31";"10,76";"10,78";"14,00";"12,47";"12,29";"15,76";"12,67"
"Pará";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2,59";"2,21";"2,93";"3,43";"5,83";"5,78";"6,55";"6,90";"7,31";"7,71";"7,14";"7,13";"6,53";"5,70";"5,61";"5,09";"5,69";"5,43";"5,11";"5,00";"4,84";"4,99";"4,75";"4,72";"4,54";"4,54";"3,97";"2,63";"2,69";"3,27";"2,50";"2,42";"2,54";"2,26";"2,29"
"Amapá";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1,98";"1,65";"1,56";"1,70";"1,77";"2,27";"33,15";"34,04";"6,39";"7,59";"7,72";"35,70";"35,63";"35,11";"49,50";"50,63";"48,42";"48,40";"50,10";"45,82";"44,07";"43,02";"42,68";"42,83";"42,52";"40,76";"37,75";"32,23";"31,21";"29,53";"28,80";"25,26";"24,23";"24,34";"22,29"
"Tocantins";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"0,77";"0,59";"1,48";"1,49";"1,15";"1,46";"1,28";"4,50";"2,83";"3,72";"3,28";"3,80";"3,45";"2,52";"2,74";"2,71";"2,58";"2,68";"2,58";"2,22";"2,42";"3,43";"2,47";"2,19";"3,02";"2,88";"3,06";"2,77";"0,86";"0,37";"0,47";"0,92";"1,00";"1,01"
"Maranhão";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"6,57";"8,04";"8,63";"7,85";"7,04";"6,76";"6,18";"5,42";"4,88";"5,79";"5,73";"5,58";"4,63";"4,65";"4,47";"4,31";"4,11";"3,96";"3,58";"3,52";"3,19";"3,21";"3,17";"2,96";"3,03";"3,05";"3,15";"3,36";"2,85";"2,21";"2,10";"0,98";"0,57";"0,37";"0,46"
