"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Área destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Município";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja"
"Alumínio (SP)";"6";"5";"6";"6";"6";"6";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4"
"Americana (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Araçariguama (SP)";"6";"5";"6";"6";"6";"2";"10";"10";"10";"10";"10";"10";"10";"10";"10";"10";"10";"10";"10";"10"
"Araçoiaba da Serra (SP)";"63";"77";"100";"100";"63";"100";"47";"20";"11";"11";"11";"25";"25";"50";"50";"50";"98";"98";"98";"98"
"Arujá (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Barueri (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Biritiba Mirim (SP)";"-";"-";"-";"-";"-";"12";"12";"12";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cabreúva (SP)";"40";"115";"40";"40";"40";"40";"17";"17";"-";"2";"2";"2";"2";"2";"2";"-";"-";"-";"-";"-"
"Caçapava (SP)";"5";"4";"15";"15";"20";"15";"14";"14";"30";"-";"-";"...";"...";"-";"...";"...";"...";"...";"...";"..."
"Caieiras (SP)";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-"
"Cajamar (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-"
"Campinas (SP)";"59";"16";"102";"102";"42";"102";"102";"-";"-";"56";"42";"20";"38";"42";"10";"10";"10";"10";"10";"10"
"Campo Limpo Paulista (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Charqueada (SP)";"6";"5";"6";"6";"6";"6";"6";"6";"6";"6";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-"
"Cosmópolis (SP)";"1300";"998";"1284";"1284";"1284";"1284";"1284";"921";"921";"125";"125";"30";"193";"193";"193";"150";"150";"100";"100";"100"
"Cotia (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Cubatão (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Embu das Artes (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Embu-Guaçu (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"...";"...";"-";"-";"-";"-";"-"
"Ferraz de Vasconcelos (SP)";"...";"...";"...";"...";"...";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Francisco Morato (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Franco da Rocha (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-";"..."
"Guararema (SP)";"-";"-";"-";"-";"-";"8";"8";"8";"8";"8";"4";"4";"5";"5";"-";"4";"4";"4";"4";"4"
"Guarujá (SP)";"...";"...";"...";"...";"...";"...";"0";"...";"...";"...";"...";"-";"-";"-";"...";"-";"-";"...";"-";"-"
"Guarulhos (SP)";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Hortolândia (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Igaratá (SP)";"3";"2";"10";"10";"10";"10";"10";"10";"10";"10";"-";"-";"-";"-";"-";"...";"...";"...";"...";"..."
"Indaiatuba (SP)";"-";"-";"-";"-";"-";"-";"50";"50";"50";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itanhaém (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapecerica da Serra (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Itapevi (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Itaquaquecetuba (SP)";"-";"-";"-";"-";"...";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Itu (SP)";"450";"345";"450";"450";"450";"450";"50";"50";"63";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itupeva (SP)";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"10";"1";"1";"-";"-";"32";"32"
"Jacareí (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaguariúna (SP)";"906";"935";"988";"800";"770";"800";"800";"800";"800";"800";"800";"714";"714";"747";"747";"747";"747";"747";"747";"747"
"Jambeiro (SP)";"2";"2";"2";"2";"2";"2";"...";"...";"30";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"..."
"Jandira (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Jarinu (SP)";"392";"301";"279";"279";"279";"279";"279";"61";"200";"200";"170";"110";"110";"110";"10";"10";"5";"5";"5";"5"
"Jundiaí (SP)";"189";"145";"275";"275";"275";"275";"110";"110";"129";"129";"129";"129";"129";"129";"80";"80";"30";"30";"30";"30"
"Juquitiba (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Louveira (SP)";"21";"10";"13";"13";"13";"13";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mairinque (SP)";"22";"17";"22";"22";"14";"22";"10";"22";"14";"14";"14";"14";"14";"14";"14";"14";"14";"14";"14";"14"
"Mairiporã (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Mauá (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Mogi das Cruzes (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mongaguá (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monteiro Lobato (SP)";"5";"4";"5";"5";"5";"5";"...";"...";"10";"...";"...";"...";"...";"-";"...";"...";"...";"...";"...";"..."
"Monte Mor (SP)";"-";"-";"-";"-";"-";"-";"...";"...";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Odessa (SP)";"200";"154";"200";"200";"200";"200";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-"
"Paraibuna (SP)";"11";"65";"60";"60";"12";"60";"55";"55";"120";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"..."
"Paulínia (SP)";"357";"274";"357";"357";"357";"357";"...";"...";"...";"-";"10";"10";"10";"10";"10";"10";"10";"...";"...";"10"
"Pindamonhangaba (SP)";"11";"8";"11";"11";"11";"11";"11";"11";"11";"11";"11";"11";"11";"11";"11";"11";"11";"8";"8";"8"
"Piracicaba (SP)";"1867";"1827";"1966";"1966";"2300";"2070";"2415";"2070";"2070";"2070";"2415";"2415";"2500";"2100";"2100";"2100";"2400";"2400";"2400";"2400"
"Pirapora do Bom Jesus (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Poá (SP)";"...";"...";"...";"...";"...";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Praia Grande (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Redenção da Serra (SP)";"-";"-";"-";"-";"-";"-";"...";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-"
"Ribeirão Pires (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Rio das Pedras (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Salesópolis (SP)";"-";"-";"-";"-";"-";"8";"8";"8";"8";"8";"8";"8";"8";"-";"-";"-";"-";"-";"-";"-"
"Saltinho (SP)";"13";"2";"3";"3";"3";"3";"19";"3";"19";"19";"19";"16";"16";"16";"16";"16";"16";"-";"-";"-"
"Salto (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Salto de Pirapora (SP)";"225";"173";"225";"225";"122";"225";"66";"67";"60";"60";"60";"60";"60";"39";"20";"20";"115";"115";"115";"115"
"Santa Bárbara d'Oeste (SP)";"156";"173";"225";"225";"...";"225";"...";"...";"...";"...";"42";"-";"...";"...";"...";"...";"-";"-";"-";"-"
"Santa Branca (SP)";"11";"8";"11";"11";"11";"11";"11";"23";"23";"23";"23";"10";"10";"10";"10";"-";"-";"-";"-";"-"
"Santa Isabel (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santana de Parnaíba (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Santos (SP)";"...";"...";"...";"...";"...";"...";"0";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Bernardo do Campo (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São José dos Campos (SP)";"10";"8";"10";"10";"60";"10";"...";"...";"120";"20";"-";"-";"-";"-";"...";"...";"...";"...";"...";"..."
"São Lourenço da Serra (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5"
"São Roque (SP)";"7";"5";"7";"7";"7";"7";"18";"18";"18";"18";"18";"18";"18";"18";"18";"18";"18";"18";"18";"18"
"São Vicente (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Sorocaba (SP)";"200";"154";"200";"200";"220";"200";"335";"670";"100";"100";"100";"100";"100";"590";"590";"590";"590";"590";"590";"590"
"Sumaré (SP)";"-";"-";"...";"...";"...";"-";"-";"-";"-";"...";"-";"-";"...";"...";"...";"-";"-";"-";"-";"-"
"Suzano (SP)";"...";"...";"...";"...";"...";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Taboão da Serra (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Taubaté (SP)";"-";"-";"-";"-";"-";"-";"-";"22";"22";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-"
"Tremembé (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-"
"Valinhos (SP)";"14";"11";"14";"14";"14";"14";"-";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4"
"Vargem Grande Paulista (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Várzea Paulista (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Vinhedo (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Votorantim (SP)";"25";"31";"40";"40";"163";"40";"3";"3";"...";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Área destinada à colheita - percentual do total geral"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Município";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja";"Laranja"
"Alumínio (SP)";"60,00";"71,43";"60,00";"60,00";"60,00";"60,00";"13,64";"23,53";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00";"50,00"
"Americana (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Araçariguama (SP)";"75,00";"71,43";"75,00";"75,00";"75,00";"50,00";"50,00";"76,92";"66,67";"90,91";"58,82";"58,82";"58,82";"58,82";"58,82";"58,82";"58,82";"58,82";"58,82";"58,82"
"Araçoiaba da Serra (SP)";"41,18";"46,11";"52,63";"52,63";"91,30";"51,81";"100,00";"57,14";"26,19";"26,83";"34,38";"52,08";"51,02";"68,49";"68,49";"68,49";"77,78";"77,78";"77,78";"77,78"
"Arujá (SP)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Barueri (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Biritiba Mirim (SP)";"-";"-";"-";"-";"-";"6,09";"6,09";"6,09";"6,09";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cabreúva (SP)";"15,94";"65,34";"16,39";"16,39";"16,39";"31,50";"27,42";"12,50";"-";"0,93";"0,94";"0,76";"1,74";"1,74";"1,74";"-";"-";"-";"-";"-"
"Caçapava (SP)";"10,64";"8,70";"14,15";"11,90";"18,02";"12,93";"13,08";"13,08";"2,11";"-";"-";"...";"...";"-";"...";"...";"...";"...";"...";"..."
"Caieiras (SP)";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-"
"Cajamar (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-"
"Campinas (SP)";"2,81";"0,87";"4,64";"3,78";"2,12";"5,22";"5,13";"-";"-";"3,50";"3,54";"1,83";"2,97";"2,66";"0,76";"0,90";"0,87";"0,87";"0,85";"0,78"
"Campo Limpo Paulista (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Charqueada (SP)";"16,22";"13,89";"16,22";"16,22";"17,14";"17,14";"21,43";"17,14";"17,14";"25,00";"-";"-";"...";"...";"...";"...";"-";"-";"-";"-"
"Cosmópolis (SP)";"92,72";"90,73";"92,64";"94,90";"94,90";"95,46";"88,13";"97,05";"97,05";"82,24";"82,24";"47,62";"86,16";"84,65";"85,02";"70,75";"64,10";"53,48";"52,91";"53,76"
"Cotia (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Cubatão (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Embu das Artes (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Embu-Guaçu (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"...";"...";"-";"-";"-";"-";"-"
"Ferraz de Vasconcelos (SP)";"...";"...";"...";"...";"...";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Francisco Morato (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Franco da Rocha (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"-";"-";"-";"-";"-";"..."
"Guararema (SP)";"-";"-";"-";"-";"-";"2,53";"2,41";"2,41";"2,41";"2,09";"1,18";"1,18";"1,63";"1,63";"-";"2,16";"2,16";"2,16";"2,16";"2,16"
"Guarujá (SP)";"...";"...";"...";"...";"...";"...";"..";"...";"...";"...";"...";"-";"-";"-";"...";"-";"-";"...";"-";"-"
"Guarulhos (SP)";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Hortolândia (SP)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Igaratá (SP)";"100,00";"100,00";"22,22";"22,22";"33,33";"33,33";"24,39";"24,39";"27,78";"58,82";"-";"-";"-";"-";"-";"...";"...";"...";"...";"..."
